rank,name,login,contributions,company,organizations
145,Aditya Oberai,adityaoberai,1206,@appwrite,"appwrite,utopia-php,dotnet-foundation,Progate-Mentorship-Program,code-capture,GDSC-Amity,Global-AI-Mumbai,open-runtimes,appwrite-labs,appwrite-community"
146,A.B,iAmKankan,1198,,
147,Utkarsh Ashok Pathrabe,UtkarshPathrabe,1198,NVIDIA Graphics Pvt. Ltd.,bitspilanicode
148,Sanket Singh,singhsanket143,1194,@Microsoft,
149,Avinash Sajjanshetty,avinassh,1175,@tursodatabase,"recursecenter,libsql,tursodatabase"
150,Souvik Biswas,sbis04,1155,@FlutterFlow,GDSC-IIIT-Kalyani
151,Pinaki,0xInfection,1137,/dev/null,watchtowrlabs
152,Manthan Gupta,manthanguptaa,1137,,
153,Alen Yohannan,AlenVelocity,1132,@frappe,Synthesized-Infinity
154,AI Anytime,AIAnytime,1129,AI Anytime,
155,Abhijit Tripathy,Abhijit2505,1122,"@Presear-AI, @Prodigal-AI, Guru Ghasidas Vishwavidyalaya, Bilaspur","OpenGenus,github-craftwork,Treasure-Code-Algorithm,edualgo,Mozilla-Student-Developers-GGV-Bilaspur,DSCGGV,Presear-AI,Rigorvigor"
156,Abhishek Naidu,abhisheknaiidu,1122,,"collective,fossasia,NVIDIAGameWorks,dwyl,jazzband,fnplus,Recyclero,yogdaan,codezoned,github-craftwork,Codez-Tech,EddieHubCommunity,nation3,wagmifund"
157,Abhay Faldu,abhayfaldu,1122,Webledger Solutions,divamtech
158,Abhay Prince,Abhayprince,1121,,
159,Rishiraj Sharma,ehrishirajsharma,1117,@projectdiscovery ,projectdiscovery
160,🎧 Harsh Kumar Singh 🎧,harshjuly12,1110,NSPCL (NTPC : SAIL Ltd Ind),
161,Pulkit,Pulkitxm,1105,,plone
162,Akshay Narisetti,akshaynarisetti,1100,,
163,Aakansha Doshi,ad1992,1098,Prophecy,"excalidraw,react-tags"
164,Arihant Bansal,arihantbansal,1097,@arcium-hq,"Devsoc-BPGC,SuperteamDAO,arcium-hq,Hugging-Face-Supporter,xypherlabshq,niftyclick,DaSH-Lab-CSIS"
165,Aakash ,Aakashdeveloper,1096,IBM,
166,Amanjeet Singh,amanjeetsingh150,1076,@mobile-dev-inc,
167,Keshav Bhatt,keshavbhatt,1065,@zextras,"zextras,snapcrafters"
168,Shreyansh Singh,shreyansh26,1065,Level AI,COPS-IITBHU
169,Nirmalya Ghosh,ghoshnirmalya,1064,,sitepoint-editors
170,Abhinav,ABSphreak,1051,@omclindia ,"koders-in,Apphreak,EddieHubCommunity,omclindia,Py-Contributors,DevDesigneer,PlaceholderTech,struckbuild"
171,Sanu Kumar,sk66641,1036,,recodehive
172,Akash Hamirwasia,blenderskool,1033,@elevenlabs,elevenlabs
173,Andrew Bastin,AndrewBastin,1032,@hoppscotch,hoppscotch
174,Ritwick Dey,ritwickdey,1032,,
175,Nishanth Vijayan,nishanthvijayan,1015,Sabbatical,
176,Sudeep Acharjee,SudeepAcharjee,1001,Freelancer,
177,Srikanth Pragada,srikanthpragada,998,Srikanth Technologies,
178,KARTHIK LAL,karthik558,988,@cyberdefence-toolkit | @hackclub | @cherishos | @ryzen-kernel,"hackclub,EpicGames,NVIDIAGameWorks,dev-protocol,CherishOS,EddieHubCommunity,cloudcommunity,SurPathHub,cyberdefence-toolkit,openAOD,Design-and-Code,WebXDAO,CommunityPro,euclidTeam"
